pc4,buurt_key,address_count
3766,03420601,2441
3768,03420701,1964
3769,03420804,1732
3771,02035411,999
3772,02035414,1931
3773,02035412,1282
3774,02035650,1034
3775,02036265,76
3776,02035960,404
3781,02035530,1646
3784,02035875,273
3785,02036070,303
3791,03270300,966
3792,02036395,47
3794,02036191,135
3811,03070104,722
3812,03070303,997
3813,03070903,1048
3814,03070701,911
3815,03071003,1081
3816,03071301,916
3817,03071602,961
3818,03071701,793
3819,03073401,43
3821,03072500,887
3822,03072001,657
3823,03072108,695
3824,03072400,1280
3825,03072800,885
3826,03073103,1387
3828,03071902,999
3829,03072601,706
3831,03270500,848
3832,03270201,916
3833,03270108,1053
3834,03270004,385
3835,03270400,114
3836,03071202,40
3841,02430101,809
3842,02430502,1123
3843,02431005,824
3844,02430806,579
3845,02431207,775
3846,02430201,615
3847,02431402,59
3848,02431103,634
3849,02431501,554
3851,02330003,2640
3852,02330002,1183
3853,02330004,2538
3861,02670104,914
3862,02670108,914
3863,02670103,1060
3864,02670300,780
3871,02670502,886
3881,02730001,1934
3882,02730003,1431
3886,02035781,552
3888,02001001,724
3891,00500001,1568
3892,00500002,2132
3893,00500003,2444
3894,00500004,2588
3895,00500005,7
3896,00500006,131
3897,00500007,221
3898,00500008,82
3899,00500009,172
3901,03450220,1818
3902,03450110,1723
3903,03450223,1031
3904,03450331,2239
3905,03450550,1319
3906,03450554,1067
3907,03450117,1113
3911,03400301,1202
3912,03400203,228
3921,03401302,1039
3922,03401304,117
3925,02790000,3506
3927,03390000,1396
3931,03510004,1277
3941,15810000,1242
3945,03520200,1192
3947,03520300,630
3951,15810400,1886
3953,15810402,385
3956,15810200,2900
3958,15810300,2255
3959,15810302,287
3961,03520008,738
3962,03520003,1142
3971,15810106,1574
3972,15810108,2205
3981,03120000,2981
3984,03120100,2419
3985,03120200,825
3989,19613901,16
3991,03211010,901
3992,03211014,750
3993,03211124,754
3994,03211344,892
3995,03211121,837
3997,03213070,128
3998,03215090,523
3999,03214080,198
4001,02810000,1332
4002,02810100,979
4003,02810103,1432
4004,02810109,349
4005,02810009,1340
4006,02810011,1101
4007,02810303,1072
4011,02140200,430
4012,02140201,522
4013,02810201,191
4014,02810200,274
4016,02140209,66
4017,02810208,25
4021,02140500,1313
4023,02140501,153
4024,02140502,364
4031,02140400,399
4032,02140301,173
4033,02140300,1472
4041,17400000,1748
4043,17400001,1936
4051,17400100,1676
4053,17400102,311
4054,17400101,227
4061,19600700,631
4062,02810305,35
4063,19600702,82
4064,19600701,392
4101,02160000,1403
4102,02160005,1067
4103,02160009,673
4104,02160106,271
4105,02160101,1119
4106,02160105,810
4107,02160108,52
4111,02140101,200
4112,02140100,1168
4115,02140003,109
4116,02140001,386
4117,02140004,138
4119,02140600,120
4121,19613701,311
4122,19613201,280
4124,19613401,419
4125,19613601,872
4126,19611501,259
4128,19610701,865
4131,19612201,712
4132,19612101,700
4133,19611901,1098
4141,19612702,829
4142,19612401,922
4143,19612502,662
4145,19613001,461
4147,19600801,721
4151,19600203,167
4152,19600202,297
4153,19600200,758
4155,19600103,97
4156,19600102,223
4157,19600101,173
4158,19600100,750
4161,19600901,628
4163,19611701,86
4171,19601100,952
4174,19600502,298
4175,19600500,1066
